time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1713398543999928800,51.62192871,11.42139382,1.630886156,66.65188272,29.64420636,190.7657824,14.25092513,10.06637801,-82.34344603,1.014474434
1713398544999928000,52.62192798,10.8311712,1.765007726,99.86583307,29.64419958,195.1506017,14.25231583,10.06440891,-82.34344807,0.758267826
1713398545999927600,53.62192749,10.41389762,1.613896722,81.8393516,29.64418958,179.2099831,14.25356633,10.06263783,-82.34345183,0.7905829362
1713398546999926500,54.62192651,10.26708036,1.774617425,77.72973804,29.64417771,192.8738339,14.25758726,10.05693984,-82.34345567,0.953144965
1713398547999925200,55.62192529,10.11862112,1.45595613,65.93235847,29.64416552,170.4718553,14.25737658,10.05723851,-82.34345144,0.9526225001
1713398548999924700,56.6219248,10.02982202,1.646810515,61.35201744,29.64415388,185.5896015,14.25886122,10.05513352,-82.34344985,1.099332009
1713398549999924200,57.62192432,9.726386595,1.467206606,51.00891385,29.64414021,179.369736,14.25741169,10.05718874,-82.34344332,1.173219744
1713398550999924500,58.62192456,9.716321411,1.628405556,69.94666482,29.64413055,179.4183106,14.25756248,10.05697496,-82.34344332,0.9459707976
1713398551999923500,59.62192334,9.520038574,1.617128472,69.50963157,29.64412145,174.0747899,14.25884681,10.05515394,-82.3434383,0.9622302292
1713398552999922700,60.62192261,9.27052125,1.432254975,72.72189859,29.64411449,177.9845073,14.2572158,10.05746642,-82.34343874,0.7825932835
1713398553999922000,61.62192188,9.039298095,1.614688654,65.40194156,29.64409996,177.1281091,14.25673237,10.05815169,-82.34343682,0.9985976471
1713398554999922000,62.62192188,8.514453037,1.714980407,54.12073382,29.64408729,164.1707744,14.25706117,10.05768562,-82.34342968,1.425884626
1713398555999921000,63.6219209,8.393757586,1.741317764,71.51207129,29.6440776,190.9981909,14.25590317,10.05932693,-82.3434359,1.000217518
1713398556999921000,64.6219209,8.72985279,1.770539725,65.51324789,29.64406519,193.8371202,14.2568056,10.05804788,-82.34343814,1.157775847
1713398557999919600,65.62191968,8.679486995,1.824525732,74.84479857,29.64405387,180.0541132,14.25691475,10.05789317,-82.343436,1.006835289
1713398558999918800,66.62191895,7.975253239,1.54651267,47.58835261,29.64405186,104.3787525,14.25440392,10.06145129,-82.34340899,1.546770492
1713398559999918800,67.62191895,8.063454761,1.632809056,79.94583505,29.64403997,165.7176165,14.25500906,10.06059392,-82.34341363,0.9358712672
1713398560999918800,68.62191895,8.109065112,1.647515682,69.64153788,29.64402959,177.2132954,14.25623431,10.05885762,-82.34341655,0.9757716178
1713398561999918000,69.62191797,8.66234874,1.796415718,69.1779126,29.64401582,175.1388748,14.2564913,10.05849338,-82.34341348,1.097676499
1713398562999917000,70.62191699,8.737979678,1.800181126,90.03090123,29.64400804,172.4933166,14.25665497,10.0582614,-82.34341388,0.8610081166
1713398563999916000,71.62191602,8.260719993,1.800644307,65.04923255,29.64399482,179.6844482,14.25721171,10.05747222,-82.3434197,1.120280049
1713398564999916000,72.62191602,8.213445061,1.784035306,72.28040327,29.64398341,179.6844482,14.25601788,10.05916436,-82.34342194,1.044171714
1713398565999915300,73.62191528,8.046420722,1.785334577,77.04322228,29.64397316,179.6844482,14.25570451,10.05960846,-82.34342083,0.9470542296
1713398566999915000,74.62191504,7.720614391,1.772117661,84.35769579,29.64396374,179.6844482,14.25515756,10.0603835,-82.34342511,0.8515238348
1713398567999914200,75.62191431,7.623797254,1.780173186,81.31372405,29.64395468,179.6844482,14.25496949,10.06064998,-82.34342821,0.8879103727
1713398568999913200,76.62191333,7.363016622,1.778712969,89.30003552,29.64394912,179.6844482,14.25560189,10.05975388,-82.34343154,0.7982042301
1713398569999913200,77.62191333,7.375330292,1.780959852,71.44157412,29.64393786,179.6844482,14.25512711,10.06042665,-82.34343553,1.021760824
1713398570999913200,78.62191333,7.256599725,1.784661915,75.53713669,29.64392674,179.6844482,14.25497346,10.06064436,-82.34343814,0.9618613838
1713398571999911700,79.62191162,6.925119192,1.788048854,76.77854023,29.64392112,179.6844482,14.25625549,10.0588276,-82.34343987,0.943274304
1713398572999911700,80.62191162,7.030122486,1.777428339,75.07800525,29.64391146,179.6844482,14.2556275,10.05971758,-82.343442,0.9752016491
1713398573999911000,81.62191089,7.064374226,1.784956248,73.87552251,29.64390351,179.6844482,14.25498429,10.06062901,-82.34344195,0.9892614542
1713398574999910400,82.6219104,6.771312308,1.784657642,81.5950923,29.64389493,179.6844482,14.25571229,10.05959743,-82.3434419,0.8864495074
1713398575999910400,83.6219104,6.67352571,1.793138654,60.20809269,29.64387968,179.6844482,14.25764334,10.05686033,-82.3434418,1.211938388
1.7134E+18,84.62190991,6.960755992,1.797870874,65.64936612,29.64386587,179.6844482,14.25638217,10.05864806,-82.34344171,1.147500031
1713398577999909400,85.62190942,6.895250068,1.792027335,54.7346321,29.64385259,179.6844482,4.77770261,3.316337558,-82.34344163,1.351980712
1713398578999911000,86.62191089,6.767542591,1.813109615,57.15885762,29.64383942,179.6844482,4.775463321,3.319561282,-82.34344155,1.302103914
1713398579999908000,87.6219082,6.70493948,1.818104848,78.82634527,29.64383258,179.6844482,4.772830057,3.323346248,-82.3434415,0.9412150266
1713398580999907300,88.62190723,6.580846071,1.721189917,111.2314588,29.64382758,202.6635098,4.769309355,3.328396808,-82.34343964,0.710882568
1713398581999907000,89.62190698,7.115105732,1.75553414,83.39607028,29.6438226,195.7973565,4.763595644,3.336569133,-82.34343956,0.9126321783
1713398582999907000,90.62190698,6.670726333,1.760154621,80.58579985,29.64381443,179.6844482,4.758730834,3.343503833,-82.34344016,0.8977545588
1713398583999905800,91.62190576,6.955991671,1.779254432,83.84877418,29.64380636,179.6844482,4.754491783,3.349529059,-82.34344134,0.8709938561
1713398584999905000,92.62190503,7.108804977,1.797122295,66.82045877,29.64379625,179.6844482,4.757001083,3.345964394,-82.34344206,1.10939873
1713398585999904500,93.62190454,7.198164185,0.9648747623,61.64656386,29.64378557,179.6844482,4.749701601,3.356318182,-82.34344667,1.182811917
1713398586999904500,94.62190454,7.426253155,1.634899237,60.44959202,29.64377405,179.6844482,4.751288634,3.35407116,-82.34344465,1.135671525
1713398587999904500,95.62190454,6.952938225,1.157923412,44.43928492,29.64376696,179.6844482,4.732660719,3.380304653,-82.34344109,1.114354613
1713398588999903700,96.62190381,6.728090211,1.125814725,45.02015784,29.64375896,179.6844482,4.734140466,3.378231946,-82.34344104,1.074002631
1713398589999903200,97.62190332,6.722195277,1.209417424,45.21730307,29.64374745,179.6844482,4.734632852,3.377541826,-82.34344097,1.171057042
1713398590999903000,98.62190308,6.838583125,0.9993949933,47.37303406,29.64374089,179.6844482,4.731800396,3.381508841,-82.34344093,0.9733492037
1713398591999902200,99.6219021,6.545466348,1.194885387,45.00417417,29.64372831,179.6844482,4.735721754,3.376014885,-82.34344085,1.171160428
1713398592999901400,100.6219014,6.455972755,1.178140482,42.67325382,29.64371777,180,4.735767506,3.375950705,-82.34344323,1.215679211
1713398593999901200,101.6219011,6.922025477,1.125369914,50.96097954,29.64371019,180,4.735583721,3.376208502,-82.34344363,0.997953532
1713398594999901200,102.6219011,6.203773267,1.179530388,65.00762883,29.64370419,180,4.734625957,3.377551492,-82.34344753,0.7554918223
1713398595999900200,103.6219001,6.218661798,1.153766595,51.77849585,29.64369154,180,4.733537914,3.379076183,-82.34344636,0.9719278772
1713398596999899400,104.6218994,5.703332471,1.124037478,43.72583727,29.64367848,180,4.733167813,3.379594574,-82.34344633,1.079184691
1713398597999899000,105.6218989,6.004666314,1.105125171,48.11123246,29.64366796,180,4.733234097,3.379501741,-82.34344324,1.022579188
1713398598999898400,106.6218984,6.260833015,1.114946643,48.81131986,29.64365713,180,4.733837298,3.378656755,-82.34344531,1.009609654
1713398599999897600,107.6218977,5.913856327,1.185856145,49.83540509,29.64364706,180,4.734410573,3.377853395,-82.34344704,1.033842941
1713398600999897600,108.6218977,5.80829484,1.182671598,51.02015319,29.64363728,180,4.734125277,3.378253231,-82.34345056,1.001521289
1713398601999897300,109.6218975,5.537498645,1.179242408,45.6519982,29.64362529,180,4.734586518,3.377606777,-82.34344985,1.128793614
1713398602999897000,110.621897,5.394725606,1.187436069,52.90558445,29.64361697,180,4.735642373,3.376126234,-82.34345282,0.9922206361
1713398603999895800,111.6218958,4.882744702,1.191729634,58.01186468,29.64360819,180,4.735764752,3.375954569,-82.34345096,0.8581869753
1713398604999895300,112.6218953,4.350138382,1.164968475,48.20172222,29.64359607,180,4.734257076,3.378068527,-82.34345042,1.01982523
1713398605999895000,113.621895,4.02042485,1.155796195,45.27927557,29.64358445,180,4.733939274,3.378513872,-82.34345009,1.08517381
1713398606999894800,114.6218948,3.826436173,1.194683014,47.78326074,29.64357501,180,4.733430626,3.37922647,-82.34345143,1.073261021
1713398607999893800,115.6218938,3.63654766,1.169624175,46.71136228,29.64356615,180,4.734224186,3.378114621,-82.34345222,1.081103444
1713398608999893800,116.6218938,5.001239718,1.064011532,32.31539341,29.64354911,180,4.731407636,3.38205837,-82.34344167,1.481703921
1713398609999893800,117.6218938,4.947556872,0.5115532769,21.63187405,29.64353726,180.5164032,4.727658885,3.387296636,-82.34344596,1.265755151
